"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 02 14:24:20 IST 2023","Mon Oct 02 14:24:21 IST 2023","189","All Test Suite","C:/Users/amit/Downloads/3.DATA_BASE_TESTING_SDET_QA_AUTOMATION_TECHIE/part10_data_base_testing_automation/databasetesting1","org.database.testing1.DataBaseTesting1","org.database.testing1.DataBaseTesting1","testCustomerLevelWithStoredProcedure","testCustomerLevelWithStoredProcedure",""
"passed","Mon Oct 02 14:24:20 IST 2023","Mon Oct 02 14:24:20 IST 2023","58","All Test Suite","C:/Users/amit/Downloads/3.DATA_BASE_TESTING_SDET_QA_AUTOMATION_TECHIE/part10_data_base_testing_automation/databasetesting1","org.database.testing1.DataBaseTesting1","org.database.testing1.DataBaseTesting1","testCustomerLevelWithSQLStatement","testCustomerLevelWithSQLStatement",""
"passed","Mon Oct 02 14:24:20 IST 2023","Mon Oct 02 14:24:20 IST 2023","387","All Test Suite","C:/Users/amit/Downloads/3.DATA_BASE_TESTING_SDET_QA_AUTOMATION_TECHIE/part10_data_base_testing_automation/databasetesting1","org.database.testing1.DataBaseTesting1","org.database.testing1.DataBaseTesting1","storedFunctionExists","storedFunctionExists",""
